Arrival_or_Departure,Date_End_of_Quater,Year_Text,No_of_Visitors_to_Kenya,Visitors_by_Purpose,Period_Quater,Results_Status,OBJECTID
Arrivals,03/31/2005 12:00:00 AM,2005,264600,Visitors on Holiday,Q1,Actual,0
Arrivals,06/30/1991 12:00:00 AM,1991,149400,Visitors on Holiday,Q2,Actual,1
Arrivals,09/30/1991 12:00:00 AM,1991,215900,Visitors on Holiday,Q3,Actual,2
Arrivals,12/31/1991 12:00:00 AM,1991,158400,Visitors on Holiday,Q4,Actual,3
Arrivals,03/31/1992 12:00:00 AM,1992,155400,Visitors on Holiday,Q1,Actual,4
Arrivals,06/30/1992 12:00:00 AM,1992,136200,Visitors on Holiday,Q2,Actual,5
Arrivals,09/30/1992 12:00:00 AM,1992,211100,Visitors on Holiday,Q3,Actual,6
Arrivals,12/31/1992 12:00:00 AM,1992,104000,Visitors on Holiday,Q4,Actual,7
Arrivals,03/31/1993 12:00:00 AM,1993,69300,Visitors on Holiday,Q1,Actual,8
Arrivals,06/30/1993 12:00:00 AM,1993,211800,Visitors on Holiday,Q2,Actual,9
Arrivals,09/30/1993 12:00:00 AM,1993,208700,Visitors on Holiday,Q3,Actual,10
Arrivals,12/31/1993 12:00:00 AM,1993,190000,Visitors on Holiday,Q4,Actual,11
Arrivals,03/31/1994 12:00:00 AM,1994,145400,Visitors on Holiday,Q1,Actual,12
Arrivals,06/30/1994 12:00:00 AM,1994,192400,Visitors on Holiday,Q2,Actual,13
Arrivals,09/30/1994 12:00:00 AM,1994,189300,Visitors on Holiday,Q3,Actual,14
Arrivals,12/31/1994 12:00:00 AM,1994,151800,Visitors on Holiday,Q4,Actual,15
Arrivals,03/31/1995 12:00:00 AM,1995,212900,Visitors on Holiday,Q1,Actual,16
Arrivals,06/30/1995 12:00:00 AM,1995,182100,Visitors on Holiday,Q2,Actual,17
Arrivals,09/30/1995 12:00:00 AM,1995,199600,Visitors on Holiday,Q3,Actual,18
Arrivals,12/31/1995 12:00:00 AM,1995,201700,Visitors on Holiday,Q4,Actual,19
Arrivals,03/31/1996 12:00:00 AM,1996,213800,Visitors on Holiday,Q1,Actual,20
Arrivals,06/30/1996 12:00:00 AM,1996,175300,Visitors on Holiday,Q2,Actual,21
Arrivals,09/30/1996 12:00:00 AM,1996,212100,Visitors on Holiday,Q3,Actual,22
Arrivals,12/31/1996 12:00:00 AM,1996,219600,Visitors on Holiday,Q4,Actual,23
Arrivals,03/31/1997 12:00:00 AM,1997,233600,Visitors on Holiday,Q1,Actual,24
Arrivals,06/30/1997 12:00:00 AM,1997,176400,Visitors on Holiday,Q2,Actual,25
Arrivals,09/30/1997 12:00:00 AM,1997,210000,Visitors on Holiday,Q3,Actual,26
Arrivals,12/31/1997 12:00:00 AM,1997,168600,Visitors on Holiday,Q4,Actual,27
Arrivals,03/31/1998 12:00:00 AM,1998,192900,Visitors on Holiday,Q1,Actual,28
Arrivals,06/30/1998 12:00:00 AM,1998,149600,Visitors on Holiday,Q2,Actual,29
